0,38
0,82
1,36
2,32
2,75
2,85
2,73
3,52
3,64
4,61
4,82
4,94
4,33
5,90
6,33
7,99
7,90
8,41
9,55
9,46
10,46
10,45
11,61
12,47
13,75
13,95
14,76
15,77
15,67
15,71
16,28
16,46
17,79
17,30
18,48
18,60
18,33
19,81
19,58
20,63
20,87
21,35
21,54
21,88
22,88
23,74
23,89
23,92
24,56
25,36
25,50
25,64
25,93
26,56
26,59
27,86
27,29
28,51
28,68
29,73
29,92
30,91
30,77
31,63
31,41
31,59
32,49
33,63
34,87
37,83
37,58
38,49
39,82
40,93
41,55
42,65
42,66
43,59
44,96
44,90
45,63
46,58
47,92
47,99
48,62
48,90
49,70
51,84
51,98
51,87
52,76
52,63
52,92
53,69
55,95
57,60
58,98
59,97
60,65
63,67
64,84
65,92
66,73
67,81
68,97
68,90
68,94
69,93
69,85
71,97
72,95
73,87
76,96
76,94
77,78
80,96
80,85
86,93
88,89
91,97
